Time,NetEnergy,DiffEnergy
0.0307679,20.5598,0.0664422
0.031,20.6599,0.10017
0.0310179,20.7264,0.0664422
0.03125,20.8265,0.10017
0.0312679,20.893,0.0664422
0.0315,20.9932,0.10017
0.0315179,21.0596,0.0664422
0.03175,21.1598,0.10017
0.0317679,21.2262,0.0664422
0.032,21.3264,0.10017
0.0320179,21.3928,0.0664422
0.03225,21.493,0.10017
0.0322679,21.5594,0.0664422
0.0325,21.6596,0.10017
0.0325179,21.726,0.0664422
0.03275,21.8262,0.10017
0.0327679,21.8927,0.0664422
0.033,21.9928,0.10017
0.0330179,22.0593,0.0664422
0.0332321,22.1517,0.092464
0.03325,22.1641,0.012401
0.03325,22.1641,1.2945e-06
0.0332679,22.2306,0.0664422
0.0334821,22.323,0.092464
0.0335,22.3354,0.012401
0.0335,22.3354,1.2945e-06
0.0335179,22.4019,0.0664422
0.0337321,22.4943,0.092464
0.03375,22.5067,0.012401
0.03375,22.5068,1.2945e-06
0.0337679,22.5732,0.0664422
0.0339821,22.6657,0.092464
0.034,22.6781,0.012401
0.034,22.6781,1.2945e-06
0.0340179,22.7445,0.0664422
0.0342321,22.837,0.092464
0.03425,22.8494,0.012401
0.03425,22.8494,1.2945e-06
0.0342679,22.9158,0.0664422
0.0344821,23.0083,0.092464
0.0345,23.0207,0.012401
0.0345,23.0207,1.2945e-06
0.0345179,23.0871,0.0664422
0.0347321,23.1796,0.092464
0.03475,23.192,0.012401
0.03475,23.192,1.2945e-06
0.0347679,23.2584,0.0664422
0.0349821,23.3509,0.092464
0.035,23.3633,0.012401
0.035,23.3633,1.2945e-06
0.0350179,23.4297,0.0664422
0.0352321,23.5222,0.092464
0.03525,23.5346,0.012401
0.03525,23.5346,1.2945e-06
0.0352679,23.601,0.0664422
0.0354821,23.6935,0.092464
0.0355,23.7059,0.012401
0.0355,23.7059,1.2945e-06
0.0355179,23.7724,0.0664422
0.0357321,23.8648,0.092464
0.03575,23.8772,0.012401
0.03575,23.8772,1.2945e-06
0.0357679,23.9437,0.0664422
0.0359821,24.0361,0.092464
0.036,24.0485,0.012401
0.036,24.0485,1.2945e-06
0.0360179,24.115,0.0664422
0.0362321,24.2074,0.092464
0.03625,24.2198,0.012401
0.03625,24.2198,1.2945e-06
0.0362679,24.2863,0.0664422
0.0364821,24.3787,0.092464
0.0365,24.3911,0.012401
0.0365,24.3911,1.2945e-06
0.0365179,24.4576,0.0664422
0.0367321,24.55,0.092464
0.03675,24.5625,0.012401
0.03675,24.5625,1.2945e-06
0.0367679,24.6289,0.0664422
0.0369821,24.7214,0.092464
0.037,24.7338,0.012401
0.037,24.7338,1.2945e-06
0.0370179,24.8002,0.0664422
0.0372321,24.8927,0.092464
0.03725,24.9051,0.012401
0.03725,24.9051,1.2945e-06
0.0372679,24.9715,0.0664422
0.0374821,25.064,0.092464
0.0375,25.0764,0.012401
0.0375,25.0764,1.2945e-06
0.0375179,25.1428,0.0664422
0.0377321,25.2353,0.092464
0.03775,25.2477,0.012401
0.03775,25.2477,1.2945e-06
0.0377679,25.3141,0.0664422
0.0379821,25.4066,0.092464
0.038,25.419,0.012401
0.038,25.419,1.2945e-06
0.0380179,25.4854,0.0664422
0.0382321,25.5779,0.092464
0.03825,25.5903,0.012401
0.03825,25.5903,1.2945e-06
0.0382679,25.6567,0.0664422
0.0384821,25.7492,0.092464
0.0385,25.7616,0.012401
0.0385,25.7616,1.2945e-06
0.0385179,25.8281,0.0664422
0.0387321,25.9205,0.092464
0.03875,25.9329,0.012401
0.03875,25.9329,1.2945e-06
0.0387679,25.9994,0.0664422
0.0389821,26.0918,0.092464
0.039,26.1042,0.012401
0.039,26.1042,1.2945e-06
0.0390179,26.1707,0.0664422
0.0392321,26.2631,0.092464
0.03925,26.2755,0.012401
0.03925,26.2755,1.2945e-06
0.0392679,26.342,0.0664422
0.0394821,26.4344,0.092464
0.0395,26.4468,0.012401
0.0395,26.4468,1.2945e-06
0.0395179,26.5133,0.0664422
0.0397321,26.6058,0.092464
0.03975,26.6182,0.012401
0.03975,26.6182,1.2945e-06
0.0397679,26.6846,0.0664422
0.0399821,26.7771,0.092464
0.04,26.7895,0.012401
0.04,26.7895,1.2945e-06
0.0400179,26.8559,0.0664422
0.0402321,26.9484,0.092464
0.04025,26.9608,0.012401
0.04025,26.9608,1.2945e-06
0.0402679,27.0272,0.0664422
0.0404821,27.1197,0.092464
0.0405,27.1321,0.012401
0.0405,27.1321,1.2945e-06
0.0405179,27.1985,0.0664422
0.0407321,27.291,0.092464
0.04075,27.3034,0.012401
0.04075,27.3034,1.2945e-06
0.0407679,27.3698,0.0664422
0.0409821,27.4623,0.092464
0.041,27.4747,0.012401
0.041,27.4747,1.2945e-06
0.0410179,27.5411,0.0664422
0.0412321,27.6336,0.092464
0.04125,27.646,0.012401
0.04125,27.646,1.2945e-06
0.0412679,27.7124,0.0664422
0.0414821,27.8049,0.092464
0.0415,27.8173,0.012401
0.0415,27.8173,1.2945e-06
0.0415179,27.8838,0.0664422
0.0417321,27.9762,0.092464
0.04175,27.9886,0.012401
0.04175,27.9886,1.2945e-06
0.0417679,28.0551,0.0664422
0.0419821,28.1475,0.092464
0.042,28.1599,0.012401
0.042,28.1599,1.2945e-06
0.0420179,28.2264,0.0664422
0.0422321,28.3188,0.092464
0.04225,28.3312,0.012401
0.04225,28.3312,1.2945e-06
0.0422679,28.3977,0.0664422
0.0424821,28.4901,0.092464
0.0425,28.5025,0.012401
0.0425,28.5025,1.2945e-06
0.0425179,28.569,0.0664422
0.0427321,28.6615,0.092464
0.04275,28.6739,0.012401
0.04275,28.6739,1.2945e-06
0.0427679,28.7403,0.0664422
0.0429821,28.8328,0.092464
0.043,28.8452,0.012401
0.043,28.8452,1.2945e-06
0.0430179,28.9116,0.0664422
0.0432321,29.0041,0.092464
0.04325,29.0165,0.012401
0.04325,29.0165,1.2945e-06
0.0432679,29.0829,0.0664422
0.0434821,29.1754,0.092464
0.0435,29.1878,0.012401
0.0435,29.1878,1.2945e-06
0.0435179,29.2542,0.0664422
0.0437321,29.3467,0.092464
0.04375,29.3591,0.012401
0.04375,29.3591,1.2945e-06
0.0437679,29.4255,0.0664422
0.0439821,29.518,0.092464
0.044,29.5304,0.012401
0.044,29.5304,1.2945e-06
0.0440179,29.5968,0.0664422
0.0442321,29.6893,0.092464
0.04425,29.7017,0.012401
0.04425,29.7017,1.2945e-06
0.0442679,29.7681,0.0664422
0.0444821,29.8606,0.092464
0.0445,29.873,0.012401
0.0445,29.873,1.2945e-06
0.0445179,29.9395,0.0664422
0.0447321,30.0319,0.092464
0.04475,30.0443,0.012401
0.04475,30.0443,1.2945e-06
0.0447679,30.1108,0.0664422
0.0449821,30.2032,0.092464
0.045,30.2156,0.012401
0.045,30.2156,1.2945e-06
0.0450179,30.2821,0.0664422
0.0452321,30.3745,0.092464
0.04525,30.3869,0.012401
0.04525,30.3869,1.2945e-06
0.0452679,30.4534,0.0664422
0.0454821,30.5458,0.092464
0.0455,30.5582,0.012401
0.0455,30.5582,1.2945e-06
0.0455179,30.6247,0.0664422
0.0457321,30.7172,0.092464
0.04575,30.7296,0.012401
0.04575,30.7296,1.2945e-06
0.0457679,30.796,0.0664422
0.0459821,30.8885,0.092464
0.046,30.9009,0.012401
0.046,30.9009,1.2945e-06
0.0460179,30.9673,0.0664422
0.0462321,31.0598,0.092464
0.04625,31.0722,0.012401
0.04625,31.0722,1.2945e-06
0.0462679,31.1386,0.0664422
0.0464821,31.2311,0.092464
0.0465,31.2435,0.012401
0.0465,31.2435,1.2945e-06
0.0465179,31.3099,0.0664422
0.0467321,31.4024,0.092464
0.04675,31.4148,0.012401
0.04675,31.4148,1.2945e-06
0.0467679,31.4812,0.0664422
0.0469821,31.5737,0.092464
0.047,31.5861,0.012401
0.047,31.5861,1.2945e-06
0.0470179,31.6525,0.0664422
0.0472321,31.745,0.092464
0.04725,31.7574,0.012401
0.04725,31.7574,1.2945e-06
0.0472679,31.8238,0.0664422
0.0474821,31.9163,0.092464
0.0475,31.9287,0.012401
0.0475,31.9287,1.2945e-06
0.0475179,31.9952,0.0664422
0.0477321,32.0876,0.092464
0.04775,32.1,0.012401
0.04775,32.1,1.2945e-06
0.0477679,32.1665,0.0664422
0.0479821,32.2589,0.092464
0.048,32.2713,0.012401
0.048,32.2713,1.2945e-06
0.0480179,32.3378,0.0664422
0.0482321,32.4302,0.092464
0.04825,32.4426,0.012401
0.04825,32.4426,1.2945e-06
0.0482679,32.5091,0.0664422
0.0484821,32.6015,0.092464
0.0485,32.6139,0.012401
0.0485,32.6139,1.2945e-06
0.0485179,32.6804,0.0664422
0.0487321,32.7729,0.092464
0.04875,32.7853,0.012401
0.04875,32.7853,1.2945e-06
0.0487679,32.8517,0.0664422
0.0489821,32.9442,0.092464
0.049,32.9566,0.012401
0.049,32.9566,1.2945e-06
0.0490179,33.023,0.0664422
0.0492321,33.1155,0.092464
0.04925,33.1279,0.012401
0.04925,33.1279,1.2945e-06
0.0492679,33.1943,0.0664422
0.0494821,33.2868,0.092464
0.0495,33.2992,0.012401
0.0495,33.2992,1.2945e-06
0.0495179,33.3656,0.0664422
0.0497321,33.4581,0.092464
0.04975,33.4705,0.012401
0.04975,33.4705,1.2945e-06
0.0497679,33.5369,0.0664422
0.0499821,33.6294,0.092464
0.05,33.6418,0.012401
0.05,33.6418,1.2945e-06
0.0500179,33.7082,0.0664422
0.0502321,33.8007,0.092464
0.05025,33.8131,0.012401
0.05025,33.8131,1.2945e-06
0.0502679,33.8795,0.0664422
0.0504821,33.972,0.092464
0.0505,33.9844,0.012401
0.0505,33.9844,1.2945e-06
0.0505179,34.0509,0.0664422
0.0507321,34.1433,0.092464
0.05075,34.1557,0.012401
0.05075,34.1557,1.2945e-06
0.0507679,34.2222,0.0664422
0.0509821,34.3146,0.092464
0.051,34.327,0.012401
0.051,34.327,1.2945e-06
0.0510179,34.3935,0.0664422
0.0512321,34.4859,0.092464
0.05125,34.4983,0.012401
0.05125,34.4983,1.2945e-06
0.0512679,34.5648,0.0664422
0.0514821,34.6572,0.092464
0.0515,34.6696,0.012401
0.0515,34.6696,1.2945e-06
0.0515179,34.7361,0.0664422
0.0517321,34.8286,0.092464
0.05175,34.841,0.012401
0.05175,34.841,1.2945e-06
0.0517679,34.9074,0.0664422
0.0519821,34.9999,0.092464
0.052,35.0123,0.012401
0.052,35.0123,1.2945e-06
0.0520179,35.0787,0.0664422
0.0522321,35.1712,0.092464
0.05225,35.1836,0.012401
0.05225,35.1836,1.2945e-06
0.0522679,35.25,0.0664422
0.0524821,35.3425,0.092464
0.0525,35.3549,0.012401
0.0525,35.3549,1.2945e-06
0.0525179,35.4213,0.0664422
0.0527321,35.5138,0.092464
0.05275,35.5262,0.012401
0.05275,35.5262,1.2945e-06
0.0527679,35.5926,0.0664422
0.0529821,35.6851,0.092464
0.053,35.6975,0.012401
0.053,35.6975,1.2945e-06
0.0530179,35.7639,0.0664422
0.0532321,35.8564,0.092464
0.05325,35.8688,0.012401
0.05325,35.8688,1.2945e-06
0.0532679,35.9353,0.0664422
0.0534821,36.0277,0.092464
0.0535,36.0401,0.012401
0.0535,36.0401,1.2945e-06
0.0535179,36.1066,0.0664422
0.0537321,36.199,0.092464
0.05375,36.2114,0.012401
0.05375,36.2114,1.2945e-06
0.0537679,36.2779,0.0664422
0.0539821,36.3703,0.092464
0.054,36.3827,0.012401
0.054,36.3827,1.2945e-06
0.0540179,36.4492,0.0664422
0.0542321,36.5416,0.092464
0.05425,36.554,0.012401
0.05425,36.554,1.2945e-06
0.0542679,36.6205,0.0664422
0.0544821,36.7129,0.092464
0.0545,36.7253,0.012401
0.0545,36.7254,1.2945e-06
0.0545179,36.7918,0.0664422
0.0547321,36.8843,0.092464
0.05475,36.8967,0.012401
0.05475,36.8967,1.2945e-06
0.0547679,36.9631,0.0664422
0.0549821,37.0556,0.092464
0.055,37.068,0.012401
0.055,37.068,1.2945e-06
0.0550179,37.1344,0.0664422
0.0552321,37.2269,0.092464
0.05525,37.2393,0.012401
0.05525,37.2393,1.2945e-06
0.0552679,37.3057,0.0664422
0.0554821,37.3982,0.092464
0.0555,37.4106,0.012401
0.0555,37.4106,1.2945e-06
0.0555179,37.477,0.0664422
0.0557321,37.5695,0.092464
0.05575,37.5819,0.012401
0.05575,37.5819,1.2945e-06
0.0557679,37.6483,0.0664422
0.0559821,37.7408,0.092464
0.056,37.7532,0.012401
0.056,37.7532,1.2945e-06
0.0560179,37.8196,0.0664422
0.0562321,37.9121,0.092464
0.05625,37.9245,0.012401
0.05625,37.9245,1.2945e-06
0.0562679,37.991,0.0664422
0.0564821,38.0834,0.092464
0.0565,38.0958,0.012401
0.0565,38.0958,1.2945e-06
0.0565179,38.1623,0.0664422
0.0567321,38.2547,0.092464
0.05675,38.2671,0.012401
0.05675,38.2671,1.2945e-06
0.0567679,38.3336,0.0664422
0.0569821,38.426,0.092464
0.057,38.4384,0.012401
0.057,38.4384,1.2945e-06
0.0570179,38.5049,0.0664422
0.0572321,38.5973,0.092464
0.05725,38.6097,0.012401
0.05725,38.6097,1.2945e-06
